,retorno_sobre_capital_tangivel_inicial,retorno_sobre_capital_investido_inicial,retorno_sobre_capital_tangivel_inicial_pre_impostos,retorno_sobre_capital_investido_inicial_pre_impostos,retorno_sobre_patrimonio_liquido_inicial,retorno_sobre_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_do_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda,datas,tic
21,0.6,0.243,0.91,0.368,0.218,0.125,0.605,0.22,0.33,0.406,0.57,1.60,0.60,-0.44,30/06/2019,ABEV3
22,0.597,0.251,0.905,0.38,0.229,0.136,0.611,0.218,0.337,0.413,0.62,1.64,0.64,-0.37,31/03/2019,ABEV3
23,0.859,0.294,1.302,0.445,0.24,0.127,0.616,0.22,0.338,0.415,0.58,1.67,0.67,-0.43,31/12/2018,ABEV3
24,0.638,0.267,0.966,0.404,0.229,0.13,0.63,0.219,0.346,0.422,0.59,1.62,0.62,-0.35,30/09/2018,ABEV3
25,0.687,0.26,1.041,0.394,0.166,0.094,0.63,0.16,0.349,0.421,0.59,1.74,0.74,-0.28,30/06/2018,ABEV3
26,0.622,0.246,0.943,0.373,0.163,0.095,0.628,0.158,0.346,0.419,0.60,1.69,0.69,-0.17,31/03/2018,ABEV3
27,0.72,0.256,1.09,0.388,0.164,0.088,0.623,0.153,0.343,0.416,0.57,1.89,0.89,-0.39,31/12/2017,ABEV3
28,0.6,0.244,0.909,0.37,0.187,0.112,0.616,0.193,0.357,0.431,0.58,1.76,0.76,-0.25,30/09/2017,ABEV3
29,0.648,0.249,0.981,0.378,0.27,0.156,0.615,0.264,0.353,0.427,0.59,1.76,0.76,-0.20,30/06/2017,ABEV3
30,0.597,0.237,0.904,0.36,0.254,0.149,0.619,0.265,0.358,0.432,0.56,1.72,0.72,-0.11,31/03/2017,ABEV3
31,0.969,0.295,1.468,0.446,0.26,0.139,0.634,0.275,0.375,0.449,0.51,1.87,0.87,-0.12,31/12/2016,ABEV3
32,0.789,0.284,1.196,0.43,0.249,0.137,0.644,0.252,0.375,0.445,0.54,1.67,0.67,-0.14,30/09/2016,ABEV3
33,0.838,0.313,1.269,0.475,0.27,0.16,0.656,0.248,0.395,0.464,0.64,1.73,0.73,-0.09,30/06/2016,ABEV3
34,0.883,0.31,1.338,0.469,0.279,0.165,0.655,0.26,0.395,0.461,0.63,1.70,0.70,-0.09,31/03/2016,ABEV3
35,1.2,0.353,1.819,0.535,0.294,0.172,0.656,0.266,0.402,0.465,0.65,1.87,0.87,-0.46,31/12/2015,ABEV3
36,0.776,0.3,1.175,0.455,0.302,0.197,0.658,0.293,0.408,0.471,0.67,1.82,0.82,-0.33,30/09/2015,ABEV3
37,0.824,0.303,1.249,0.459,0.31,0.201,0.659,0.305,0.411,0.474,0.66,1.68,0.68,-0.21,30/06/2015,ABEV3
38,0.985,0.321,1.492,0.486,0.317,0.195,0.663,0.31,0.42,0.481,0.63,1.69,0.69,-0.22,31/03/2015,ABEV3
39,0.95,0.304,1.439,0.46,0.282,0.176,0.664,0.317,0.416,0.476,0.55,1.71,0.71,-0.39,31/12/2014,ABEV3
40,0.679,0.281,1.03,0.425,0.315,0.204,0.669,0.332,0.427,0.487,0.62,1.54,0.54,-0.18,30/09/2014,ABEV3
41,0.69,0.416,1.045,0.63,0.438,0.198,0.67,0.318,0.433,0.49,0.62,1.54,0.54,-0.20,30/06/2014,ABEV3
42,,,,,,,0.675,0.296,0.438,0.495,NA,1.63,0.63,-0.25,31/03/2014,ABEV3
43,,,,,,,0.672,0.274,0.442,0.5,NA,1.60,0.60,-0.48,31/12/2013,ABEV3
44,,,,,,,,,,,NA,1.54,0.54,-1.77,30/09/2013,ABEV3
45,,,,,,,,,,,NA,2.21,1.21,-2.59,30/06/2013,ABEV3
46,0.019,0.026,0.029,0.04,0.055,0.04,1.0,6.902,4.805,4.805,0.01,1.40,0.40,-1.99,31/03/2013,ABEV3
47,,,,,,,0.0,0.0,0.0,0.0,NA,1.38,0.38,-1.53,31/12/2012,ABEV3
0,0.072,0.078,0.11,0.118,0.086,0.072,0.598,0.412,0.539,0.548,0.18,1.27,0.27,-0.70,30/09/2024,AFLT3
1,0.082,0.088,0.124,0.134,0.112,0.092,0.686,0.527,0.608,0.611,0.17,1.28,0.28,-0.75,30/06/2024,AFLT3
2,0.074,0.079,0.112,0.12,0.094,0.083,0.568,0.427,0.506,0.509,0.19,1.14,0.14,-0.45,31/03/2024,AFLT3
3,0.077,0.083,0.117,0.126,0.11,0.096,0.52,0.427,0.448,0.45,0.22,1.14,0.14,-0.09,31/12/2023,AFLT3
4,0.073,0.079,0.111,0.12,0.102,0.088,0.486,0.377,0.394,0.396,0.23,1.20,0.20,-0.41,30/09/2023,AFLT3
5,0.07,0.075,0.106,0.114,0.099,0.085,0.47,0.36,0.371,0.374,0.24,1.23,0.23,-0.26,30/06/2023,AFLT3
6,0.104,0.112,0.158,0.17,0.153,0.14,0.597,0.49,0.5,0.502,0.29,1.14,0.14,-0.47,31/03/2023,AFLT3
7,0.102,0.11,0.155,0.166,0.152,0.136,0.618,0.52,0.532,0.534,0.26,1.15,0.15,-0.55,31/12/2022,AFLT3
8,0.476,0.511,0.721,0.774,0.67,0.61,0.827,0.778,0.801,0.802,0.78,1.16,0.16,-0.25,30/09/2022,AFLT3
9,0.464,0.498,0.703,0.755,0.679,0.616,0.842,0.792,0.819,0.82,0.78,1.17,0.17,-0.21,30/06/2022,AFLT3
10,0.408,0.439,0.618,0.665,0.529,0.484,0.87,0.815,0.842,0.843,0.59,1.09,0.09,-0.19,31/03/2022,AFLT3
11,0.402,0.434,0.609,0.658,0.532,0.48,0.886,0.83,0.858,0.859,0.58,1.11,0.11,-0.17,31/12/2021,AFLT3
12,0.087,0.091,0.132,0.138,0.106,0.094,0.674,0.507,0.534,0.536,0.18,1.10,0.10,-0.92,30/09/2021,AFLT3
13,0.081,0.084,0.123,0.128,0.088,0.083,0.701,0.536,0.562,0.566,0.16,1.10,0.10,-0.58,30/06/2021,AFLT3
14,0.076,0.079,0.116,0.12,0.086,0.082,0.676,0.526,0.547,0.551,0.16,1.09,0.09,-1.74,31/03/2021,AFLT3
15,0.074,0.077,0.113,0.117,0.087,0.083,0.648,0.521,0.534,0.537,0.16,1.11,0.11,-1.58,31/12/2020,AFLT3
16,0.085,0.088,0.129,0.134,0.102,0.097,0.646,0.59,0.592,0.595,0.16,1.13,0.13,-1.61,30/09/2020,AFLT3
17,0.09,0.094,0.137,0.142,0.114,0.109,0.645,0.618,0.612,0.612,0.18,1.05,0.05,-2.68,30/06/2020,AFLT3
18,0.094,0.097,0.142,0.148,0.122,0.116,0.646,0.639,0.631,0.631,0.18,1.05,0.05,-2.32,31/03/2020,AFLT3
19,0.095,0.099,0.144,0.15,0.129,0.122,0.663,0.654,0.646,0.646,0.19,1.05,0.05,-2.02,31/12/2019,AFLT3
20,0.621,0.79,0.94,1.196,0.519,0.431,0.744,0.729,0.726,0.726,0.59,1.05,0.05,-1.90,30/09/2019,AFLT3
21,0.541,0.67,0.819,1.015,0.53,0.435,0.724,0.705,0.706,0.706,0.62,1.05,0.05,-1.71,30/06/2019,AFLT3
22,0.609,0.778,0.923,1.179,0.554,0.407,0.722,0.687,0.692,0.692,0.59,1.05,0.05,-1.52,31/03/2019,AFLT3
23,0.443,0.527,0.671,0.798,0.503,0.413,0.702,0.671,0.68,0.68,0.61,1.05,0.05,-1.28,31/12/2018,AFLT3
24,0.269,0.315,0.408,0.477,0.326,0.266,0.588,0.524,0.562,0.562,0.51,1.20,0.20,-1.97,30/09/2018,AFLT3
25,0.145,0.16,0.22,0.242,0.238,0.197,0.531,0.466,0.503,0.503,0.42,1.22,0.22,-1.81,30/06/2018,AFLT3
26,0.393,0.547,0.595,0.828,0.184,0.103,0.513,0.445,0.481,0.481,0.23,1.36,0.36,-2.19,31/03/2018,AFLT3
27,0.17,0.189,0.258,0.286,0.164,0.143,0.559,0.529,0.536,0.536,0.27,1.22,0.22,-1.28,31/12/2017,AFLT3
28,0.224,0.227,0.34,0.345,0.158,0.141,0.586,0.426,0.556,0.556,0.33,1.23,0.23,-0.74,30/09/2017,AFLT3
29,0.252,0.255,0.382,0.387,0.188,0.173,0.607,0.478,0.575,0.575,0.36,1.21,0.21,0.17,30/06/2017,AFLT3
30,0.313,0.317,0.474,0.48,0.204,0.182,0.601,0.51,0.579,0.579,0.36,1.79,0.79,-2.08,31/03/2017,AFLT3
31,0.266,0.269,0.403,0.408,0.182,0.16,0.548,0.456,0.523,0.523,0.35,1.15,0.15,-1.94,31/12/2016,AFLT3
32,0.196,0.198,0.297,0.3,0.188,0.172,0.445,0.495,0.425,0.425,0.35,1.12,0.12,-2.35,30/09/2016,AFLT3
33,0.124,0.125,0.188,0.19,0.143,0.132,0.368,0.429,0.348,0.348,0.31,1.09,0.09,-3.53,30/06/2016,AFLT3
34,0.133,0.133,0.201,0.202,0.146,0.134,0.414,0.453,0.385,0.385,0.30,1.12,0.12,-4.21,31/03/2016,AFLT3
35,0.142,0.143,0.215,0.216,0.165,0.151,0.438,0.461,0.409,0.409,0.33,1.14,0.14,-3.41,31/12/2015,AFLT3
36,0.189,0.19,0.287,0.288,0.18,0.147,0.484,0.465,0.427,0.427,0.32,1.09,0.09,-3.01,30/09/2015,AFLT3
37,0.22,0.22,0.333,0.334,0.232,0.2,0.6,0.569,0.543,0.543,0.35,1.08,0.08,-1.83,30/06/2015,AFLT3
38,0.181,0.181,0.274,0.274,0.181,0.17,0.458,0.427,0.41,0.41,0.40,1.09,0.09,-2.19,31/03/2015,AFLT3
39,0.182,0.183,0.276,0.277,0.193,0.18,0.492,0.432,0.415,0.415,0.42,1.09,0.09,-1.72,31/12/2014,AFLT3
40,0.125,0.125,0.189,0.189,0.141,0.131,0.612,0.605,0.591,0.591,0.22,1.23,0.23,-3.15,30/09/2014,AFLT3
41,0.202,0.202,0.306,0.306,0.214,0.2,0.496,0.456,0.445,0.445,0.44,1.16,0.16,-1.58,30/06/2014,AFLT3
42,0.263,0.264,0.399,0.399,0.228,0.202,0.642,0.598,0.587,0.587,0.34,1.06,0.06,-1.60,31/03/2014,AFLT3
43,0.27,0.271,0.409,0.41,0.244,0.209,0.586,0.553,0.545,0.545,0.38,1.08,0.08,-1.33,31/12/2013,AFLT3
44,0.242,0.242,0.366,0.367,0.226,0.21,0.547,0.523,0.514,0.514,0.40,1.07,0.07,-1.11,30/09/2013,AFLT3
45,0.213,0.214,0.323,0.324,0.235,0.217,0.569,0.541,0.533,0.533,0.40,1.07,0.07,-1.39,30/06/2013,AFLT3
46,0.177,0.178,0.269,0.269,0.2,0.176,0.572,0.541,0.532,0.532,0.33,1.13,0.13,-2.18,31/03/2013,AFLT3
47,0.132,0.133,0.201,0.201,0.218,0.191,0.632,0.626,0.608,0.608,0.30,1.17,0.17,-1.92,31/12/2012,AFLT3
48,0.262,0.263,0.398,0.398,0.253,0.235,0.685,0.663,0.652,0.652,0.35,1.08,0.08,-1.58,30/09/2012,AFLT3
49,0.263,0.263,0.398,0.399,0.274,0.254,0.702,0.686,0.668,0.668,0.37,1.09,0.09,-1.07,30/06/2012,AFLT3
50,0.312,0.312,0.472,0.472,0.254,0.225,0.652,0.647,0.625,0.625,0.35,1.14,0.14,-1.15,31/03/2012,AFLT3
51,0.344,0.344,0.521,0.522,0.277,0.249,0.658,0.661,0.638,0.638,0.38,1.14,0.14,0.20,31/12/2011,AFLT3
52,0.265,0.265,0.402,0.402,0.248,0.243,0.614,0.632,0.595,0.595,0.38,1.08,0.08,-1.68,30/09/2011,AFLT3
53,0.268,0.268,0.406,0.406,0.249,0.245,0.577,0.581,0.561,0.561,0.42,1.08,0.08,-1.42,30/06/2011,AFLT3
54,0.252,0.252,0.381,0.381,0.242,0.237,0.618,0.598,0.595,0.595,0.40,1.13,0.13,-2.15,31/03/2011,AFLT3
55,,,,,,,0.625,0.599,0.607,0.607,NA,1.11,0.11,-1.93,31/12/2010,AFLT3
56,,,,,,,,,,,NA,1.02,0.02,NA,30/09/2010,AFLT3
57,,,,,,,,,,,NA,1.02,0.02,NA,30/06/2010,AFLT3
58,,,,,,,,,,,NA,1.02,0.02,NA,31/03/2010,AFLT3
0,0.07,0.072,0.106,0.109,0.131,0.085,0.349,0.239,0.244,0.317,0.36,1.70,0.70,2.63,30/09/2024,AGRO3
1,0.045,0.046,0.068,0.069,0.103,0.065,0.294,0.214,0.176,0.251,0.30,1.65,0.65,3.28,30/06/2024,AGRO3
2,0.04,0.041,0.061,0.062,0.116,0.071,0.28,0.216,0.155,0.235,0.33,1.71,0.71,3.35,31/03/2024,AGRO3
3,0.055,0.057,0.084,0.086,0.143,0.087,0.294,0.241,0.187,0.26,0.36,1.66,0.66,2.71,31/12/2023,AGRO3
4,0.064,0.065,0.096,0.099,0.113,0.074,0.306,0.209,0.202,0.279,0.35,1.54,0.54,1.52,30/09/2023,AGRO3
5,0.071,0.073,0.108,0.111,0.121,0.08,0.308,0.21,0.216,0.285,0.38,1.60,0.60,1.34,30/06/2023,AGRO3
6,0.015,0.016,0.023,0.024,0.023,0.016,0.145,0.049,0.054,0.125,0.33,1.64,0.64,4.73,31/03/2023,AGRO3
7,0.054,0.056,0.082,0.085,0.212,0.143,0.231,0.404,0.154,0.218,0.36,1.64,0.64,2.10,31/12/2022,AGRO3
8,0.191,0.198,0.289,0.3,0.195,0.127,0.394,0.264,0.337,0.372,0.48,1.53,0.53,0.37,30/09/2022,AGRO3
9,0.221,0.229,0.335,0.348,0.238,0.152,0.404,0.271,0.36,0.403,0.56,1.51,0.51,0.35,30/06/2022,AGRO3
10,0.236,0.247,0.358,0.375,0.33,0.199,0.444,0.299,0.395,0.453,0.67,1.41,0.41,0.08,31/03/2022,AGRO3
11,0.298,0.318,0.452,0.482,0.277,0.146,0.465,0.168,0.417,0.475,0.87,1.48,0.48,-0.13,31/12/2021,AGRO3
12,0.176,0.19,0.267,0.287,0.29,0.163,0.379,0.241,0.316,0.445,0.68,1.54,0.54,-0.61,30/09/2021,AGRO3
13,0.152,0.161,0.23,0.244,0.283,0.155,0.403,0.26,0.323,0.413,0.60,1.57,0.57,-0.39,30/06/2021,AGRO3
14,0.136,0.143,0.207,0.217,0.108,0.062,0.415,0.114,0.343,0.285,0.54,1.65,0.65,0.95,31/03/2021,AGRO3
15,0.088,0.089,0.133,0.136,0.127,0.079,0.308,0.148,0.221,0.146,0.53,1.90,0.90,4.15,31/12/2020,AGRO3
16,0.093,0.094,0.14,0.143,0.165,0.105,0.305,0.202,0.226,0.124,0.52,1.78,0.78,4.17,30/09/2020,AGRO3
17,0.099,0.1,0.149,0.152,0.136,0.088,0.314,0.169,0.233,0.148,0.52,1.82,0.82,4.76,30/06/2020,AGRO3
18,0.084,0.085,0.127,0.129,0.199,0.135,0.305,0.27,0.222,0.257,0.50,1.75,0.75,3.27,31/03/2020,AGRO3
19,0.071,0.072,0.108,0.11,0.201,0.137,0.31,0.312,0.213,0.254,0.44,1.61,0.61,2.56,31/12/2019,AGRO3
20,0.062,0.063,0.094,0.096,0.197,0.136,0.292,0.336,0.197,0.241,0.40,1.57,0.57,2.19,30/09/2019,AGRO3
21,0.131,0.133,0.199,0.201,0.234,0.15,0.425,0.319,0.336,0.378,0.47,1.54,0.54,0.95,30/06/2019,AGRO3
22,0.154,0.155,0.233,0.235,0.176,0.13,0.486,0.24,0.392,0.436,0.54,1.48,0.48,1.07,31/03/2019,AGRO3
23,0.217,0.217,0.328,0.329,0.182,0.137,0.498,0.231,0.506,0.548,0.59,1.46,0.46,0.73,31/12/2018,AGRO3
24,0.232,0.233,0.352,0.353,0.355,0.274,0.5,0.455,0.505,0.549,0.60,1.45,0.45,0.62,30/09/2018,AGRO3
25,0.144,0.144,0.218,0.219,0.189,0.143,0.406,0.329,0.419,0.479,0.43,1.56,0.56,0.93,30/06/2018,AGRO3
26,0.113,0.113,0.171,0.171,0.162,0.126,0.372,0.322,0.391,0.47,0.39,1.36,0.36,1.02,31/03/2018,AGRO3
27,0.046,0.046,0.07,0.07,0.087,0.07,0.327,0.194,0.172,0.26,0.36,1.33,0.33,1.89,31/12/2017,AGRO3
28,0.027,0.027,0.041,0.04,0.064,0.052,0.318,0.185,0.124,0.197,0.28,1.29,0.29,1.69,30/09/2017,AGRO3
29,-0.0,-0.0,-0.0,-0.0,0.04,0.032,0.26,0.148,-0.001,0.081,0.22,1.32,0.32,4.61,30/06/2017,AGRO3
30,-0.014,-0.014,-0.021,-0.021,-0.011,-0.009,0.139,-0.063,-0.121,0.009,0.15,1.29,0.29,87.90,31/03/2017,AGRO3
31,-0.037,-0.037,-0.056,-0.056,-0.044,-0.038,-0.071,-0.34,-0.404,-0.228,0.11,1.25,0.25,-2.99,31/12/2016,AGRO3
32,-0.033,-0.033,-0.05,-0.05,-0.04,-0.033,-0.065,-0.291,-0.341,-0.148,0.11,1.23,0.23,-2.70,30/09/2016,AGRO3
33,-0.021,-0.021,-0.032,-0.032,0.014,0.01,0.031,0.076,-0.18,-0.022,0.14,1.24,0.24,-14.90,30/06/2016,AGRO3
34,0.132,0.133,0.201,0.201,0.299,0.219,0.543,0.539,0.42,0.484,0.41,1.22,0.22,0.07,31/03/2016,AGRO3
35,0.164,0.164,0.248,0.249,0.373,0.277,0.549,0.567,0.442,0.502,0.49,1.18,0.18,-0.26,31/12/2015,AGRO3
36,0.164,0.164,0.248,0.249,0.377,0.283,0.542,0.581,0.423,0.479,0.49,1.22,0.22,-0.31,30/09/2015,AGRO3
37,0.168,0.169,0.255,0.256,0.31,0.218,0.545,0.483,0.422,0.481,0.45,1.35,0.35,0.19,30/06/2015,AGRO3
38,-0.018,-0.018,-0.027,-0.027,0.021,0.015,0.155,0.066,-0.095,0.021,0.23,1.37,0.37,25.86,31/03/2015,AGRO3
39,-0.025,-0.026,-0.038,-0.039,-0.01,-0.008,0.12,-0.033,-0.128,-0.01,0.24,1.35,0.35,-51.05,31/12/2014,AGRO3
40,-0.026,-0.027,-0.04,-0.041,-0.015,-0.012,0.112,-0.052,-0.138,-0.014,0.22,1.33,0.33,-27.32,30/09/2014,AGRO3
41,-0.029,-0.03,-0.044,-0.045,-0.023,-0.017,0.09,-0.088,-0.18,-0.039,0.20,1.42,0.42,-5.63,30/06/2014,AGRO3
42,0.005,0.005,0.008,0.008,0.022,0.017,0.241,0.064,0.024,0.138,0.27,1.39,0.39,2.76,31/03/2014,AGRO3
43,-0.005,-0.005,-0.008,-0.008,0.018,0.014,0.215,0.059,-0.026,0.096,0.24,1.36,0.36,2.19,31/12/2013,AGRO3
44,0.019,0.019,0.028,0.029,0.051,0.039,0.275,0.12,0.074,0.195,0.32,1.30,0.30,-0.31,30/09/2013,AGRO3
45,0.03,0.03,0.045,0.046,0.051,0.039,0.302,0.118,0.11,0.225,0.33,1.31,0.31,0.48,30/06/2013,AGRO3
46,-0.012,-0.012,-0.018,-0.018,-0.017,-0.013,0.159,-0.051,-0.054,-0.038,0.25,1.28,0.28,-1.81,31/03/2013,AGRO3
47,-0.003,-0.003,-0.005,-0.005,-0.014,-0.012,0.189,-0.044,-0.014,0.002,0.27,1.27,0.27,70.34,31/12/2012,AGRO3
